script,estimator,dgp,n_pop,n_nonprob,n_prob,method_selection,est_method,gee_h_fun,method_outcome,family_outcome,k,pmm_match_type,pmm_weights,pmm_reg_engine,vars_selection,penalty,bias_correction,target_var,var_method,rep_type,num_boot,alpha,n_reps,n_failed,true_target,bias,rmse,mc_se,mean_se,coverage,coverage_mcse,ci_width,runtime_sec,nonprobsvy_version,r_version,commit_sha,run_date
ipw_scad,ipw,default,10000,500,500,logit,,,,,,,,,TRUE,SCAD,,y,analytic,,,0.05,500,0,1.01043394878497,-0.100575844599179,0.175850357088206,0.00645748351365149,0.105583433253983,0.726,0.0199461274436919,0.413879453083792,74.0633985996246,0.2.3.9001,4.6.0,2d7b79a,2026-05-14T07:52:28Z
ipw_scad,ipw,default,10000,500,500,logit,,,,,,,,,TRUE,lasso,,y,analytic,,,0.05,500,0,1.01043394878497,-0.00875701334248682,0.123301181089984,0.0055057805249926,0.107892766112565,0.908,0.01292563344676,0.422931871546063,142.137643098831,0.2.3.9001,4.6.0,2d7b79a,2026-05-14T07:53:36Z
ipw_scad,ipw,default,10000,500,500,logit,,,,,,,,,TRUE,MCP,,y,analytic,,,0.05,500,0,1.01043394878497,-0.0215977146676575,0.126065386026476,0.00556002412646306,0.107476660071039,0.886,0.0142129518397833,0.42130076583578,58.5482125282288,0.2.3.9001,4.6.0,2d7b79a,2026-05-14T07:53:27Z
